,labels,texts
48,neutral,"She had a green linen apron thrown over her head and shoulders, and it was quite wet, as if it had been raining heavily."
49,surprise,"""Yes, that it has,"" said she, and then, just as she was going to tell him a great many pretty stories from Holberg's comedies, and about Waldemar and Absalom, she suddenly shrunk up together, and wagged her head as if she were a frog about to spring."
50,neutral,"""Croak,"" she cried; ""it is always wet, and as quiet as death in Soroe."""
51,surprise,Then little Tuk saw she was changed into a frog.
52,neutral,"""Croak,"" and again she was an old woman."
53,neutral,"""One must dress according to the weather,"" said she."
54,neutral,"""It is wet, and my town is just like a bottle."
55,neutral,"By the cork we must go in, and by the cork we must come out again."
56,neutral,"In olden times I had beautiful fish, and now I have fresh, rosy-cheeked boys in the bottom of the bottle, and they learn wisdom, Hebrew and Greek."""
57,neutral,"""Croak."""
58,neutral,"How it sounded like the cry of the frogs on the moor, or like the creaking of great boots when some one is marching,- always the same tone, so monotonous and wearing, that little Tuk at length fell fast asleep, and then the sound could not annoy him."
59,neutral,But even in this sleep came a dream or something like it.
60,neutral,"His little sister Gustava, with her blue eyes, and fair curly hair, had grown up a beautiful maiden all at once, and without having wings she could fly."
61,neutral,"And they flew together over Zealand, over green forests and blue lakes."
62,neutral,"""Hark, so you hear the cock crow, little Tuk."
63,neutral,'Cock-a-doodle-doo.'
64,neutral,The fowls are flying out of Kjoge.
65,neutral,You shall have a large farm-yard.
66,neutral,You shall never suffer hunger or want.
67,neutral,"The bird of good omen shall be yours, and you shall become a rich and happy man; your house shall rise up like King Waldemar's towers, and shall be richly adorned with marble statues, like those at Prastoe."
68,joy,"Understand me well; your name shall travel with fame round the world like the ship that was to sail from Corsor, and at Roeskilde,- Don't forget the names of the towns, as King Hroar said,- you shall speak well and clearly little Tuk, and when at last you lie in your grave you shall sleep peacefully, as-"" ""As if I lay in Soroe,"" said little Tuk awaking."
69,neutral,"It was bright daylight, and he could not remember his dream, but that was not necessary, for we are not to know what will happen to us in the future."
70,neutral,"Then he sprang out of bed quickly, and read over his lesson in the book, and knew it all at once quite correctly."
71,joy,"The old washerwoman put her head in at the door, and nodded to him quite kindly, and said, ""Many thanks, you good child, for your help yesterday."
72,joy,"I hope all your beautiful dreams will come true."""
73,neutral,"Little Tuk did not at all know what he had dreamt, but One above did."
0,neutral,A long time ago there lived a king who was famed for his wisdom through all the land.
1,neutral,"Nothing was hidden from him, and it seemed as if news of the most secret things was brought to him through the air."
2,neutral,"But he had a strange custom; every day after dinner, when the table was cleared, and no one else was present, a trusty servant had to bring him one more dish."
3,neutral,"It was covered, however, and even the servant did not know what was in it, neither did anyone know, for the king never took off the cover to eat of it until he was quite alone."
4,neutral,"This had gone on for a long time, when one day the servant, who took away the dish, was overcome with such curiosity that he could not help carrying the dish into his room."
5,neutral,"When he had carefully locked the door, he lifted up the cover, and saw a white snake lying on the dish."
6,joy,"But when he saw it he could not deny himself the pleasure of tasting it, so he cut of a little bit and put it into his mouth."
7,neutral,No sooner had it touched his tongue than he heard a strange whispering of little voices outside his window.
8,neutral,"He went and listened, and then noticed that it was the sparrows who were chattering together, and telling one another of all kinds of things which they had seen in the fields and woods."
9,neutral,Eating the snake had given him power of understanding the language of animals.
10,neutral,"Now it so happened that on this very day the queen lost her most beautiful ring, and suspicion of having stolen it fell upon this trusty servant, who was allowed to go everywhere."
11,anger,"The king ordered the man to be brought before him, and threatened with angry words that unless he could before the morrow point out the thief, he himself should be looked upon as guilty and executed."
12,fear,In vain he declared his innocence; he was dismissed with no better answer.
13,fear,In his trouble and fear he went down into the courtyard and took thought how to help himself out of his trouble.
14,joy,"Now some ducks were sitting together quietly by a brook and taking their rest; and, whilst they were making their feathers smooth with their bills, they were having a confidential conversation together."
15,neutral,The servant stood by and listened.
16,sadness,"They were telling one another of all the places where they had been waddling about all the morning, and what good food they had found; and one said in a pitiful tone: ""Something lies heavy on my stomach; as I was eating in haste I swallowed a ring which lay under the queen""s window."""
17,neutral,"The servant at once seized her by the neck, carried her to the kitchen, and said to the cook: ""Here is a fine duck; pray, kill her."""
18,neutral,"""Yes,"" said the cook, and weighed her in his hand; ""she has spared no trouble to fatten herself, and has been waiting to be roasted long enough."""
19,neutral,"So he cut off her head, and as she was being dressed for the spit, the queen""s ring was found inside her."
20,joy,"The servant could now easily prove his innocence; and the king, to make amends for the wrong, allowed him to ask a favour, and promised him the best place in the court that he could wish for."
21,neutral,"The servant refused everything, and only asked for a horse and some money for travelling, as he had a mind to see the world and go about a little."
22,neutral,"When his request was granted he set out on his way, and one day came to a pond, where he saw three fishes caught in the reeds and gasping for water."
23,fear,"Now, though it is said that fishes are dumb, he heard them lamenting that they must perish so miserably, and, as he had a kind heart, he got off his horse and put the three prisoners back into the water."
24,joy,"They leapt with delight, put out their heads, and cried to him: ""We will remember you and repay you for saving us!"""
25,neutral,"He rode on, and after a while it seemed to him that he heard a voice in the sand at his feet."
26,anger,"He listened, and heard an ant-king complain: ""Why cannot folks, with their clumsy beasts, keep off our bodies?"
27,anger,"That stupid horse, with his heavy hoofs, has been treading down my people without mercy!"""
28,joy,"So he turned on to a side path and the ant-king cried out to him: ""We will remember you--one good turn deserves another!"""
29,neutral,"The path led him into a wood, and there he saw two old ravens standing by their nest, and throwing out their young ones."
30,disgust,"""Out with you, you idle, good-for-nothing creatures!"" cried they; ""we cannot find food for you any longer; you are big enough, and can provide for yourselves."""
31,fear,"But the poor young ravens lay upon the ground, flapping their wings, and crying: ""Oh, what helpless chicks we are!"
32,neutral,"We must shift for ourselves, and yet we cannot fly!"
33,neutral,"What can we do, but lie here and starve?"""
34,neutral,"So the good young fellow alighted and killed his horse with his sword, and gave it to them for food."
35,joy,"Then they came hopping up to it, satisfied their hunger, and cried: ""We will remember you--one good turn deserves another!"""
36,neutral,"And now he had to use his own legs, and when he had walked a long way, he came to a large city."
37,neutral,"There was a great noise and crowd in the streets, and a man rode up on horseback, crying aloud: ""The king""s daughter wants a husband; but whoever seeks her hand must perform a hard task, and if he does not succeed he will forfeit his life."""
38,neutral,"Many had already made the attempt, but in vain; nevertheless when the youth saw the king""s daughter he was so overcome by her great beauty that he forgot all danger, went before the king, and declared himself a suitor."
39,neutral,"So he was led out to the sea, and a gold ring was thrown into it, before his eyes; then the king ordered him to fetch this ring up from the bottom of the sea, and added: ""If you come up again without it you will be thrown in again and again until you perish amid the waves."""
40,sadness,"All the people grieved for the handsome youth; then they went away, leaving him alone by the sea."
41,surprise,"He stood on the shore and considered what he should do, when suddenly he saw three fishes come swimming towards him, and they were the very fishes whose lives he had saved."
42,neutral,"The one in the middle held a mussel in its mouth, which it laid on the shore at the youth""s feet, and when he had taken it up and opened it, there lay the gold ring in the shell."
43,joy,Full of joy he took it to the king and expected that he would grant him the promised reward.
44,disgust,"But when the proud princess perceived that he was not her equal in birth, she scorned him, and required him first to perform another task."
45,neutral,"She went down into the garden and strewed with her own hands ten sacksful of millet-seed on the grass; then she said: ""Tomorrow morning before sunrise these must be picked up, and not a single grain be wanting."""
46,sadness,"The youth sat down in the garden and considered how it might be possible to perform this task, but he could think of nothing, and there he sat sorrowfully awaiting the break of day, when he should be led to death."
47,neutral,"But as soon as the first rays of the sun shone into the garden he saw all the ten sacks standing side by side, quite full, and not a single grain was missing."
48,neutral,"The ant-king had come in the night with thousands and thousands of ants, and the grateful creatures had by great industry picked up all the millet-seed and gathered them into the sacks."
49,neutral,"Presently the king""s daughter herself came down into the garden, and was amazed to see that the young man had done the task she had given him."
50,neutral,"But she could not yet conquer her proud heart, and said: ""Although he has performed both the tasks, he shall not be my husband until he had brought me an apple from the Tree of Life."""
51,neutral,"The youth did not know where the Tree of Life stood, but he set out, and would have gone on for ever, as long as his legs would carry him, though he had no hope of finding it."
52,neutral,"After he had wandered through three kingdoms, he came one evening to a wood, and lay down under a tree to sleep."
53,neutral,"But he heard a rustling in the branches, and a golden apple fell into his hand."
54,neutral,"At the same time three ravens flew down to him, perched themselves upon his knee, and said: ""We are the three young ravens whom you saved from starving; when we had grown big, and heard that you were seeking the Golden Apple, we flew over the sea to the end of the world, where the Tree of Life stands, and have brought you the apple."""
55,joy,"The youth, full of joy, set out homewards, and took the Golden Apple to the king""s beautiful daughter, who had now no more excuses left to make."
56,joy,"They cut the Apple of Life in two and ate it together; and then her heart became full of love for him, and they lived in undisturbed happiness to a great age."
0,neutral,This is a fierce bad Rabbit; look at his savage whiskers and his claws and his turned-up tail.
1,neutral,This is a nice gentle Rabbit.
2,neutral,His mother has given him a carrot.
3,neutral,The bad Rabbit would like some carrot.
4,neutral,"He doesn't say ""Please."""
5,neutral,He takes it!
6,neutral,And he scratches the good Rabbit very badly.
7,neutral,The good Rabbit creeps away and hides in a hole.
8,sadness,It feels sad.
9,neutral,This is a man with a gun.
10,neutral,He sees something sitting on a bench.
11,joy,He thinks it is a very funny bird!
12,neutral,He comes creeping up behind the trees.
13,neutral,And then he shoots--BANG!
14,neutral,This is what happens--
15,neutral,But this is all he finds on the bench when he rushes up with his gun.
16,neutral,The good Rabbit peeps out of its hole . . .
17,surprise,. . . and it sees the bad Rabbit tearing past--without any tail or whiskers!
0,neutral,"Once upon a time there were three little kittens, and their names were Mittens, Tom Kitten, and Moppet."
1,neutral,They had dear little fur coats of their own; and they tumbled about the doorstep and played in the dust.
2,neutral,But one day their mother--Mrs.
3,neutral,"Tabitha Twitchit--expected friends to tea; so she fetched the kittens indoors, to wash and dress them, before the fine company arrived."
4,neutral,First she scrubbed their faces (this one is Moppet).
5,neutral,Then she brushed their fur (this one is Mittens).
6,neutral,Then she combed their tails and whiskers (this is Tom Kitten).
7,neutral,"Tom was very naughty, and he scratched."
8,neutral,"Mrs. Tabitha dressed Moppet and Mittens in clean pinafores and tuckers; and then she took all sorts of elegant uncomfortable clothes out of a chest of drawers, in order to dress up her son Thomas."
9,neutral,"Tom Kitten was very fat, and he had grown; several buttons burst off."
10,neutral,His mother sewed them on again.
11,neutral,"When the three kittens were ready, Mrs. Tabitha unwisely turned them out into the garden, to be out of the way while she made hot buttered toast."
12,anger,"""Now keep your frocks clean, children!"
13,neutral,You must walk on your hind legs.
14,neutral,"Keep away from the dirty ash- pit, and from Sally Henny Penny, and from the pigsty and the Puddle- ducks."""
15,neutral,Moppet and Mittens walked down the garden path unsteadily.
16,neutral,Presently they trod upon their pinafores and fell on their noses.
17,neutral,When they stood up there were several green smears!
18,neutral,"""Let us climb up the rockery and sit on the garden wall,"" said Moppet."
19,neutral,They turned their pinafores back to front and went up with a skip and a jump; Moppet's white tucker fell down into the road.
20,neutral,Tom Kitten was quite unable to jump when walking upon his hind legs in trousers.
21,neutral,"He came up the rockery by degrees, breaking the ferns and shedding buttons right and left."
22,neutral,He was all in pieces when he reached the top of the wall.
23,neutral,"Moppet and Mittens tried to pull him together; his hat fell off, and the rest of his buttons burst."
24,neutral,"While they were in difficulties, there was a pit pat, paddle pat! and the three Puddle-ducks came along the hard high road, marching one behind the other and doing the goose step-- pit pat, paddle pat! pit pat, waddle pat!"
25,neutral,They stopped and stood in a row and stared up at the kittens.
26,surprise,They had very small eyes and looked surprised.
27,neutral,"Then the two duck-birds, Rebeccah and Jemima Puddle-duck, picked up the hat and tucker and put them on."
28,joy,Mittens laughed so that she fell off the wall.
29,neutral,Moppet and Tom descended after her; the pinafores and all the rest of Tom's clothes came off on the way down.
30,neutral,"""Come!"
31,neutral,"Mr. Drake Puddle-duck,"" said Moppet."
32,neutral,"""Come and help us to dress him!"
33,neutral,"Come and button up Tom!"""
34,neutral,Mr. Drake Puddle-duck advanced in a slow sideways manner and picked up the various articles.
35,neutral,But he put them on HIMSELF!
36,neutral,They fitted him even worse than Tom Kitten.
37,joy,"""It's a very fine morning!"" said Mr. Drake Puddle-duck."
38,neutral,"And he and Jemima and Rebeccah Puddle-duck set off up the road, keeping step--pit pat, paddle pat! pit pat, waddle pat!"
39,neutral,Then Tabitha Twitchit came down the garden and found her kittens on the wall with no clothes on.
40,anger,"She pulled them off the wall, smacked them, and took them back to the house."
41,anger,"""My friends will arrive in a minute, and you are not fit to be seen; I am affronted,"" said Mrs. Tabitha Twitchit."
42,neutral,She sent them upstairs; and I am sorry to say she told her friends that they were in bed with the measles-- which was not true.
43,neutral,Quite the contrary; they were not in bed: NOT in the least.
44,neutral,"Somehow there were very extra-- ordinary noises overhead, which disturbed the dignity and repose of the tea party."
45,neutral,"And I think that some day I shall have to make another, larger book, to tell you more about Tom Kitten!"
46,neutral,As for the Puddle-ducks--they went into a pond.
47,neutral,"The clothes all came off directly, because there were no buttons."
48,neutral,"And Mr. Drake Puddle-duck, and Jemima and Rebeccah, have been looking for them ever since."
0,sadness,"There was once upon a time a soldier who for many years had served the king faithfully, but when the war came to an end could serve no longer because of the many wounds which he had received."
1,neutral,"The king said to him: ""You may return to your home, I need you no longer, and you will not receive any more money, for he only receives wages who renders me service for them."""
2,sadness,"Then the soldier did not know how to earn a living, went away greatly troubled, and walked the whole day, until in the evening he entered a forest."
3,neutral,"When darkness came on, he saw a light, which he went up to, and came to a house wherein lived a witch."
4,fear,"""Do give me one night""s lodging, and a little to eat and drink,"" said he to her, ""or I shall starve."""
5,anger,"""Oho!"" she answered, ""who gives anything to a run-away soldier?"
6,neutral,"Yet will I be compassionate, and take you in, if you will do what I wish."""
7,fear,"""What do you wish?"" said the soldier."
8,neutral,"""That you should dig all round my garden for me, tomorrow."""
9,fear,"The soldier consented, and next day laboured with all his strength, but could not finish it by the evening."
10,neutral,"""I see well enough,"" said the witch, ""that you can do no more today, but I will keep you yet another night, in payment for which you must tomorrow chop me a load of wood, and chop it small."""
11,neutral,"The soldier spent the whole day in doing it, and in the evening the witch proposed that he should stay one night more."
12,neutral,"""Tomorrow, you shall only do me a very trifling piece of work."
13,neutral,"Behind my house, there is an old dry well, into which my light has fallen, it burns blue, and never goes out, and you shall bring it up again."""
14,neutral,"Next day the old woman took him to the well, and let him down in a basket."
15,joy,"He found the blue light, and made her a signal to draw him up again."
16,fear,"She did draw him up, but when he came near the edge, she stretched down her hand and wanted to take the blue light away from him."
17,fear,"""No,"" said he, perceiving her evil intention, ""I will not give you the light until I am standing with both feet upon the ground."""
18,anger,"The witch fell into a passion, let him fall again into the well, and went away."
19,fear,"The poor soldier fell without injury on the moist ground, and the blue light went on burning, but of what use was that to him?"
20,fear,He saw very well that he could not escape death.
21,sadness,"He sat for a while very sorrowfully, then suddenly he felt in his pocket and found his tobacco pipe, which was still half full."
22,sadness,"""This shall be my last pleasure,"" thought he, pulled it out, lit it at the blue light and began to smoke."
23,surprise,"When the smoke had circled about the cavern, suddenly a little black dwarf stood before him, and said: ""Lord, what are your commands?"""
24,surprise,"""What my commands are?"" replied the soldier, quite astonished."
25,neutral,"""I must do everything you bid me,"" said the little man."
26,joy,"""Good,"" said the soldier; ""then in the first place help me out of this well."""
27,fear,"The little man took him by the hand, and led him through an underground passage, but he did not forget to take the blue light with him."
28,joy,"On the way the dwarf showed him the treasures which the witch had collected and hidden there, and the soldier took as much gold as he could carry."
29,joy,"When he was above, he said to the little man: ""Now go and bind the old witch, and carry her before the judge."""
30,fear,"In a short time she came by like the wind, riding on a wild tom-cat and screaming frightfully."
31,neutral,Nor was it long before the little man reappeared.
32,joy,"""It is all done,"" said he, ""and the witch is already hanging on the gallows."
33,neutral,"What further commands has my lord?"" inquired the dwarf."
34,joy,"""At this moment, none,"" answered the soldier; ""you can return home, only be at hand immediately, if I summon you."""
35,neutral,"""Nothing more is needed than that you should light your pipe at the blue light, and I will appear before you at once."""
36,surprise,Thereupon he vanished from his sight.
37,joy,The soldier returned to the town from which he come.
38,joy,"He went to the best inn, ordered himself handsome clothes, and then bade the landlord furnish him a room as handsome as possible."
39,anger,"When it was ready and the soldier had taken possession of it, he summoned the little black manikin and said: ""I have served the king faithfully, but he has dismissed me, and left me to hunger, and now I want to take my revenge."""
40,fear,"""What am I to do?"" asked the little man."
41,anger,"""Late at night, when the king""s daughter is in bed, bring her here in her sleep, she shall do servant""s work for me."""
42,fear,"The manikin said: ""That is an easy thing for me to do, but a very dangerous thing for you, for if it is discovered, you will fare ill."""
43,neutral,"When twelve o""clock had struck, the door sprang open, and the manikin carried in the princess."
44,anger,"""Aha! are you there?"" cried the soldier, ""get to your work at once!"
45,anger,"Fetch the broom and sweep the chamber."""
46,anger,"When she had done this, he ordered her to come to his chair, and then he stretched out his feet and said: ""Pull off my boots,"" and then he threw them in her face, and made her pick them up again, and clean and brighten them."
47,sadness,"She, however, did everything he bade her, without opposition, silently and with halfshut eyes."
48,neutral,"When the first cock crowed, the manikin carried her back to the royal palace, and laid her in her bed."
49,fear,"Next morning when the princess arose she went to her father, and told him that she had had a very strange dream."
50,fear,"""I was carried through the streets with the rapidity of lightning,"" said she, ""and taken into a soldier""s room, and I had to wait upon him like a servant, sweep his room, clean his boots, and do all kinds of menial work."
51,fear,"It was only a dream, and yet I am just as tired as if I really had done everything."""
52,neutral,"""The dream may have been true,"" said the king."
53,neutral,"""I will give you a piece of advice."
54,neutral,"Fill your pocket full of peas, and make a small hole in the pocket, and then if you are carried away again, they will fall out and leave a track in the streets."""
55,neutral,"But unseen by the king, the manikin was standing beside him when he said that, and heard all."
56,neutral,"At night when the sleeping princess was again carried through the streets, some peas certainly did fall out of her pocket, but they made no track, for the crafty manikin had just before scattered peas in every street there was."
57,fear,"And again the princess was compelled to do servant""s work until cock-crow."
58,fear,"Next morning the king sent his people out to seek the track, but it was all in vain, for in every street poor children were sitting, picking up peas, and saying: ""It must have rained peas, last night."""
59,fear,"""We must think of something else,"" said the king; ""keep your shoes on when you go to bed, and before you come back from the place where you are taken, hide one of them there, I will soon contrive to find it."""
60,fear,"The black manikin heard this plot, and at night when the soldier again ordered him to bring the princess, revealed it to him, and told him that he knew of no expedient to counteract this stratagem, and that if the shoe were found in the soldier""s house it would go badly with him."
61,anger,"""Do what I bid you,"" replied the soldier, and again this third night the princess was obliged to work like a servant, but before she went away, she hid her shoe under the bed."
62,fear,"Next morning the king had the entire town searched for his daughter""s shoe."
63,fear,"It was found at the soldier""s, and the soldier himself, who at the entreaty of the dwarf had gone outside the gate, was soon brought back, and thrown into prison."
64,fear,"In his flight he had forgotten the most valuable things he had, the blue light and the gold, and had only one ducat in his pocket."
65,surprise,"And now loaded with chains, he was standing at the window of his dungeon, when he chanced to see one of his comrades passing by."
66,surprise,"The soldier tapped at the pane of glass, and when this man came up, said to him: ""Be so kind as to fetch me the small bundle I have left lying in the inn, and I will give you a ducat for doing it."""
67,joy,His comrade ran thither and brought him what he wanted.
68,joy,"As soon as the soldier was alone again, he lighted his pipe and summoned the black manikin."
69,joy,"""Have no fear,"" said the latter to his master."
70,joy,"""Go wheresoever they take you, and let them do what they will, only take the blue light with you."""
71,fear,"Next day the soldier was tried, and though he had done nothing wicked, the judge condemned him to death."
72,fear,"When he was led forth to die, he begged a last favour of the king."
73,anger,"""What is it?"" asked the king."
74,fear,"""That I may smoke one more pipe on my way."""
75,anger,"""You may smoke three,"" answered the king, ""but do not imagine that I will spare your life."""
76,neutral,"Then the soldier pulled out his pipe and lighted it at the blue light, and as soon as a few wreaths of smoke had ascended, the manikin was there with a small cudgel in his hand, and said: ""What does my lord command?"""
77,anger,"""Strike down to earth that false judge there, and his constable, and spare not the king who has treated me so ill."""
78,anger,"Then the manikin fell on them like lightning, darting this way and that way, and whosoever was so much as touched by his cudgel fell to earth, and did not venture to stir again."
79,fear,"The king was terrified; he threw himself on the soldier""s mercy, and merely to be allowed to live at all, gave him his kingdom for his own, and his daughter to wife."
0,neutral,"""I'll be at charges for a looking-glass; And entertain a score or two of tailors."" [Richard III]"
1,neutral,My Dear Freda:
2,neutral,"Because you are fond of fairytales, and have been ill, I have made you a story all for yourself--a new one that nobody has read before."
3,neutral,"And the queerest thing about it is--that I heard it in Gloucestershire, and that it is true--at least about the tailor, the waistcoat, and the ""No more twist!"" _Christmas_"
4,neutral,"In the time of swords and peri wigs and full-skirted coats with flowered lappets--when gentlemen wore ruffles, and gold-laced waistcoats of paduasoy and taffeta--there lived a tailor in Gloucester."
5,neutral,"He sat in the window of a little shop in Westgate Street, cross-legged on a table from morning till dark."
6,neutral,"All day long while the light lasted he sewed and snippetted, piecing out his satin, and pompadour, and lutestring; stuffs had strange names, and were very expensive in the days of the Tailor of Gloucester."
7,neutral,"But although he sewed fine silk for his neighbours, he himself was very, very poor."
8,neutral,"He cut his coats without waste; according to his embroidered cloth, they were very small ends and snippets that lay about upon the table--""Too narrow breadths for nought--except waistcoats for mice,"" said the tailor."
9,neutral,One bitter cold day near Christmastime the tailor began to make a coat (a coat of cherry- coloured corded silk embroidered with pansies and roses) and a cream- coloured satin waistcoat for the Mayor of Gloucester.
