,category,company,details,experience,industry,location,salary,title
46,Information Technology,NA,"

Title:  Sr. Data Engineer


Mandatory skills: 





Informatica, PowerCenter, ETL  
PL/SQL, SQL, NoSQL, Oracle


Job Description:




The individual resource will perform the following activities:



Design, develop and implement ETL transformations using Informatica power center and related products. 
Develop ETL related scripts, database procedures and other services as needed for implementing the best practices of ETL implementation. Provide SME (subject matter expert) in ETL technology implementation. 
Design coded database objects, including stored procedures, Oracle packages, functions, views, and PL/SQL scripts used for data migration, fixes, transformations, and test data generation.
Create, review, and deliver release documentation, reports, procedures, configuration documents and other required artifacts for updates to extraction, transformation, and load packages in order to: populate databases from different sources; integrate, consolidate and cleanse data; and, structure data for use in analytics applications.
Promptly provide written status reports as requested by Bank on activities to achieve successful updates to Bank’s databases, data engineering platforms, and data integration platforms according to the applicable schedule. 
As requested, perform problem diagnosis, identification and resolution for complex databases, data engineering platforms, and data integration platforms developed in Oracle, Informatica, and scripting language. Provide reports to Bank on activities to address problems. 
Develop, test, deploy and document code based on the Bank’s design specifications. Implement schema changes and maintain data architecture standards across databases. 
Prepare, test and maintain database release code to ensure optimized performance of databases, data engineering platforms, and data integration platforms throughout the software development life cycle.
Participate in peer code reviews.
Provide training in a timely manner to Bank staff on data engineering activities and technical and business requirements associated with updates to Bank’s applications.



Qualifications: 



Bachelor's degree with major or specialized courses in Information Technology or commensurate experience. 
3+ years’ related experience in performing listed activities.
Experience with Informatica PowerCenter.
Experience designing and delivering cross functional custom reporting solutions. 
Experience with relational SQL and NoSQL databases, and Oracle.
Demonstrated ability to perform self-directed work while supporting multiple teams, systems and products.
Demonstrated ability to communicate effectively.
Availability to travel in connection with providing services.








Mandatory skills: 


Informatica, PowerCenter, ETL  
PL/SQL, SQL, NoSQL, Oracle




 VIVA USA is an equal opportunity employer and is committed to maintaining a professional working environment that is free from discrimination and unlawful harassment. The Management, contractors, and staff of VIVA USA shall respect others without regard to race, sex, religion, age, color, creed, national or ethnic origin, physical, mental or sensory disability, marital status, sexual orientation, or status as a Vietnam-era, recently separated veteran, Active war time or campaign badge veteran, Armed forces service medal veteran, or disabled veteran. Please contact us at [Click Here to Email Your Resumé] for any complaints, comments and suggestions.


Please send your resumes to ""staffing10@viva-it.com"" and one of our recruiter will get in touch with you.


Contact Details:


Recruiter name: Binodh M.T,Phone (408) -709-3343 ,Email: [Click Here to Email Your Resumé]



VIVA USA INC.
3601 Algonquin Road, Suite 425
Rolling Meadows, IL 60008
[Click Here to Email Your Resumé] | www.viva-it.com
",3+ years,Accounting - Finance,"St. Louis, MO",NA,Sr. Data Engineer
47,Information Technology,SNI Technology,"
6 Month Contract --- NO Corp to CorpWe have a client in Hartford that is looking for a very strong Data Engineer to work on a project with them for the next 6 months. Role:The Analytic Data Engineer architects and engineers solutions associated with analytic data for the organization (Advanced Analytics & Reporting) and, working closely with the IT teams, assists with the design, build, and upkeep for these solutions. This includes creating pathways for analysts to access operational, derived, and external data sets. The incumbent is responsible for the operation of Data Platforms as they are associated with analytic data discovery.Qualifications and Skills
A strong understanding of enterprise data design and architecture with significant experience using SQL on traditional databases (e.g. Oracle, MS SQL Server, PostgreSQL)
Demonstrated ability to build processes that support data transformation, data structures, metadata, dependency and workload management. This is usually paired with experience using an ETL tool (Extract, Transform and Load)
Experience working with large data sets
Knowledge of at least one or more enterprise languages (C/C++/C#/Java) and scripting languages (Python, Ruby, Perl)
Experience with data visualization tools (e.g. Tableau, PowerBi)
Expertise working with one or more mortgage analytics providers (1010Data, Trepp, CoStar, Xceligent, Intex, YieldBook, Barclay's Point, etc)
Strong knowledge about data modeling, data access, and data storage techniques
Experience of building high level data pipelines.
Experience with Agile development
High level of expertise with cloud platforms - Microsoft Azure ideally.
Experience with newer data warehouses (e.g. Amazon Redshift, Azure Data lakes) a plus
Experience working with high volume, heterogeneous data using distributed systems such as Hadoop, BigTable, and Cassandra a plus
Familiarity architecting, building, and operating large-scale batch and real-time data pipelines with data processing frameworks like Scalding, Scio, Storm, Spark and Dataflow a plus
Bachelor's degree in Computer Science or in a similar field.

",NA,"Computer Hardware, Computer Software","Hartford, CT",NA,Contract Data Engineer (No C2C)
48,"Information Technology, Other, Admin - Clerical",NA,"
Competentia seeks a Data Engineer for a position located in Denver, CO. Qualified individuals will be responsible for data management, data analysis/interpretation and development of tools and scorecards.
 
Qualifications

This position requires 3+ years of transferrable experience.
Robust computer skills including MS Office and other productivity software. Computing Skills desired

SQL Server
Oracle SQL/T-SQL (Transact SQL)
Visual Basic for Applications (VBA)
Active Data Objects (ADO)
OLE (object linking and embedding)
Scripting (any language)


Demonstrated ability to learn new applications quickly.  Experience with SpotFire, OpenWells, SAP, Aries, OFM, PowerTools, a plus, but not required.


Recommends preliminary conclusions for complex problems and data analysis for further evaluation.


In addition the candidate should have a strong background database management and related computer applications.
Self-motivated individual with strong work ethic and attention to detail.
Strong organizational skills and interpersonal communication skills.
Takes initiative to maintain and increase technical and working knowledge.
A high level of initiative, energy, creativity and willingness to learn with good interpersonal skills and an ability to work well within a multi-discipline team.
Provides assistance to less experienced staff, as needed.
Seeks feedback from management and other involved disciplines.
Requires limited supervision.
Role model for highest professional and ethical behavior.

 
 

Responsibilities

Support engineering & planning staff by combining data to develop, update and monitor multiple engineering databases.
Perform analysis on engineering data for troubleshooting and problem solving efforts.
Analyze processes and recommend implementation for process improvements.
Streamline and automate manual procedures.
Coordinate and communicate across disciplines, applying lessons learned and best practices.
Maintain data used for evaluating asset performance and economics for quarterly and year end business reviews.
May be responsible for written and verbal presentations to management.
Takes an active part in team meetings and decisions.
Uphold all company environmental, health and safety policies and principles.

 
EducationB.S. Degree in Engineering, Computer Science, Mathematics or other related scientific discipline preferred, but not required. Rate will be commensurate with education and experience.
 
RelocationThis position is not eligible for relocation and may have some limited travel (less than 10%)
 
Work Schedule40 hour work week schedule
",3+ years,"Energy - Utilities - Gas - Electric, Oil Refining - Petroleum - Drilling, Environmental","Denver, CO",NA,Data Engineer
49,Information Technology,AIC (part of ACS Group),"
Data Engineer

Job Summary:
 
Data Engineer (DE) will be responsible for enhancing and maintaining data integration / ETL pipelines and data warehouse platform. The DE will also be responsible for assisting in the development, maintenance, and support of other data engineering projects as required, covering operational systems and data warehouses / business intelligence.
 
Responsibilities:
 
·      Hands-on design and development work to migrate and enhance our existing ETL pipelines as we transition to our growing cloud based data integration environment.
·      Create, enhance, and maintain existing data integrations/ETL pipelines in Python, Pentaho PDI, and some Ruby and Bash. (Back ends on Snowflake, Redshift, PostgreSQL. Technical stack might evolve over time.)
·      Document parts of the current and future processing framework.
·      Work closely with other groups to satisfy data requirements. This includes collaborating with Business Intelligence, Finance, Accounting, Talent, Contracts, BD, Content Ops, Biz Ops, Distribution, et al.
·      Help design and develop systems to evolve and migrate operational, data warehouse, and BI infrastructure.
·      Participate in development/system/database operations as needed (devops, sysops, and DBA work).

Requirements:

·      ETL development w/ multiple sources and preferably API experience with social media (ideal), healthcare, etc (3+ years).
·      Python development and Bash scripting (2+ years).
·      SQL on 1 or 2 DBMS, e.g. PostgreSQL, MySQL, Redshift, Snowflake, or other mainstream DBMS (3+ years).
·      Some work with a GUI Data Integration / ETL tool such as 1 of the following: Pentaho PDI aka Kettle, Talend, SSIS, DataStage, Informatica, Ab Initio, ODI, etc (1½ + years).
·      Data and System Design (2+ years), preferably w/ some tool experience, e.g. Visio, ER-Studio, ERwin, TDM, etc.
 
Additional Skills -- Strong Plus for 2 or more of the following:
 
·      Big Data related experience, e.g. Redshift, Vertica, Presto, Spark SQL, Kafka, Kinesis, Hadoop, AWS Lambda, Glue.
·      PostgreSQL on Linux experience as back-end developer and some DBA skill.
·      Cloud experience, ideally AWS -- or alternate, e.g. Azure or Google Cloud Compute.
·      Social Media and Business platform API development experience with Google/YouTube, Facebook, Twitter, Instagram, Pinterest, Go90, Salesforce, SAP, etc.
·      Tableau or MicroStrategy for BI/Analytics/Visualization. Metadata admin experience also useful.
·      SCM, DevOps, and some SysOps experience, e.g. Git, Docker, Ansible, AirFlow, basic Linux admin (with DBA focus), Storage admin (e.g. zfs filesystems, etc).
·      Background in other sw development languages, e.g. Ruby, Java, JavaScript, Scala.
·      Experience w/ gaming, entertainment, and Internet monetization business models.

",3+ years,Computer Software,"Burbank, CA",NA,Data Engineer
50,"Engineering, Information Technology",Vaco Technology,"
Data Engineers-are you ready to grow your career by applying your database expertise to more complex projects with some of the nation's top companies? Let Vaco serve as your advocate in presenting you to clients who are looking for Senior Data Engineers. Our recruiting staff gives you an advantage over your competition by promoting your strengths and assets directly to hiring managers while helping you to be more prepared for your interviews.From keeping you up to date on market trends and industry expectations to providing you with valuable insight into the company culture, compensation expectations, and growth opportunities of specific clients, Vaco will give you the edge you need in today's highly competitive job marketplace. Overview:

Improving and maintaining accurate geospatial datasets
Developing multithreaded processes to efficiently query, transform, and deliver data, as well as to ingest, transform, and store data
Designing and implementing storage for new datasets and the automated data ingestion and/or delivery processes required for them
Developing web-based custom data reporting and management applications
Skills and Requirements:

2+ years of solid professional experience in data-driven application development
Experience with building high-performance database and ETL applications
Strong understanding of database fundamentals, including performance tradeoffs in database and index design
GIS familiarity
Git proficiency
Experience developing multithreaded software
Additional Skills That Would Be Nice To Have:

Postgres development experience, with emphasis on PostGIS functionality
Experience with AWS cloud architecture, using the CLI and the console
Experience with REST
Experience working with GO and Java
Comfortable working in Linux and with bash shell scripting
Experience in the ad tech or ad data industry a plus
Experience with Spark or other big data processing tools

",2+ years,"Computer Software, Internet - ECommerce","Raleigh, NC 27607",NA,Data Engineer
51,Information Technology,Solomon Page,"
Be a key player. Play a major role in helping the company expand to international equities.Design and implement proprietary quantitative investment systems. Research, design, code, test and deploy projects while working in a fast-paced environment. Work closely with quantitative research and portfolio management professionals to implement new ideas. Responsibilities:
Implement, enhance, and manage quantitative models
Design and improve proprietary data repository and financial data platforms
Automate and support the ETL processes from various market data vendors
Develop and manage reporting and performance analytics platforms
Qualifications:
PhD in Computer Science, Engineering, Statistics, or related discipline with excellent academic credentials
Strong knowledge of financial equity data, with experience in Bloomberg, Thomson Reuters, Compustat, and/or CapIQ data
Broad knowledge of database concepts with proficiency in SQL and stored procedures
2+ years of solid coding experience in Python and/or C++
Experience in processing large and complex datasets
An advanced knowledge of math and statistics
Join a 30 year old hedge fund with $10B AUM that focuses exclusively on managing equity portfolios for institutional clients. Good work/life balance, low attrition, security/stability and a family environment.
",2+ years,Banking - Financial Services,"Florham Park, NJ",NA,Quantitative Data Engineer
52,Information Technology,FRG Technology Consulting,"
Spark Engineer - Chicago, IL - $160k - AWSRequirements*Proven Spark experience.*Extensive hands-on experience with programming languages like Python, Scala and Java.*Must have experience with data lakes.*Is currently hands-on.*Must have hands-on experience with Big Data technologies on AWS or Azure Cloud platform.*Real-time streaming experience is a major plus.*Excellent communication and collaboration skills.*Available and ready to start a new position asap is highly preferred. Benefits * 401k Match* Competitive bonus * Medical/Dental/Vision Insurance  * Generous Paid Time Off  * Chance for technological growth and upward mobilityIf interested in this position, please send your resume to [Click Here to Email Your Resumé]Contact: Judy KimEmail: [Click Here to Email Your Resumé]FRG Consulting is a leader in Niche IT Recruitment with a focus on cloud technologies including Azure & AWS, as well as Big Data, Data Science and BI. We deal with both Microsoft Partners, AWS partners & End Users throughout North America. We have open positions and relationships with some of the top partners and end users throughout the US and offer some excellent opportunities in the BI, Big data space. I understand the need for discretion and would welcome the opportunity to speak to any Big Data and cloud analytics candidates that are considering a new career or job either now or in the future. Confidentiality is of the upmost importance. For more information on available BI jobs, as well as the Business Intelligence, Big data and cloud market, I can be contacted at 1-212-731-8282.Spark Engineer / Data Engineer / Big Data Engineer / Hadoop / Scala / Spark / Kafka / Hive / Data Lake / Java / Python / AWS / Redshift / EMR / S3 / Lamda / EC2 / Azure / Chicago / Illinois
",NA,Computer Software,"Chicago, IL","$130,000.00 - $160,000.00 /Year","Spark Engineer - Chicago, IL - $160k - AWS"
53,Information Technology,GM Financial,"
We are expanding our efforts into complementary data technologies for decision support in areas of ingesting and processing large data sets including data commonly referred to as semi-structured or unstructured data. Our interests are in enabling data science and search based applications on large and low latent data sets in both a batch and streaming context for processing. To that end, this role will engage with team counterparts in exploring and deploying technologies for creating data sets using a combination of batch and streaming transformation processes. These data sets support both off-line and in-line machine learning training and model execution. Other data sets support search engine based analytics. Exploration and deployment of technologies activities include identifying opportunities that impact business strategy, collaborating on the selection of data solutions software, and contributing to the identification of hardware requirements based on business requirements. Responsibility also includes coding, testing, and documentation of new or modified scalable analytic data systems including automation for deployment and monitoring. This role participates along with team counterparts to develop solutions in an end-to-end framework on a group of core data technologies.JOB DUTIES
Contribute to the evaluation, research, experimentation efforts with batch and streaming data engineering technologies in a lab to keep pace with industry innovation
Work with data engineering related groups to inform on and showcase capabilities of emerging technologies and to enable the adoption of these new technologies and associated techniques
Contribute to the definition and refinement of processes and procedures for the data engineering practice
Work closely with data scientists, data architects, ETL developers, other IT counterparts, and business partners to identify, capture, collect, and format data from the external sources, internal systems, and the data warehouse to extract features of interest
Code, test, deploy, monitor, document, and troubleshoot data engineering processing and associated automation
REPORTING RELATIONSHIPData Integration Manager USKnowledge
2+ years of hands-on experience with SQL, data modeling, and relational databases such as Oracle, DB2, and Postgres
1+ years of experience with software engineering to include Java, Scala, and Python
Experience with processing large data sets with Kafka, RabbitMQ, Flume, Hadoop, HBase, Cassandra and/or Spark or similar distributed system
Experience with NoSQL data stores such as MongoDB, Cassandra, HBase, Redis, Riak or other technologies that embed NoSQL with search such as MarkLogic or Lily Enterprise
Bachelors or higher degree in computer science or other quantitative discipline or equivalent work experience
Experience or familiarity with ETL and Business Intelligence technologies such as Informatica, DataStage, Ab Initio, Cognos, BusinessObjects, or Oracle Business Intelligence
Skills
Ability to quickly prototype and perform critical analysis and use creative approaches for solving complex problems
Excellent written and verbal communication skills
Work ConditionWork primarily in a controlled climate environment. Mostly stationary with occasional need to travel between nearby DFW office locations to visit business partner customers and attend meetings. Occasional travel to attend conferences or training for development pursuits.
",2+ years,Banking - Financial Services,"Arlington, TX",NA,Data Engineer
54,Information Technology,Kforce Technology,"
RESPONSIBILITIES:Kforce has a client in search of a Database Engineer in New York, New York (NY).Overview:We are working with a growing Healthcare Technology Firm located in Midtown; a firm that is heavily invested in Data Analytics within the Healthcare sector. As they continue to grow, this firm is looking make some very strategic hires. With that said, they are searching for a Data Engineer; someone who likes working with Product, Analytics and various Internal DEV team and a passion for Healthcare and Analytics domain.This is a great position for someone who enjoys working closely with Architects and Engineers to recommend and design database or data storage solutions that effectively reflect their business needs, security, and service level requirements. They have two roles: Data Engineer and a Senior Data Engineer role. Please note that MongoDB and Redshift are nice to have.As the Database Engineer, you will work directly with the Reporting Product Team, acting as a liaison, and a second set of eyes. The role requires a highly resourceful individual with strong emotional intelligence, self-motivation, and excellent development skills. The role is a mix of executing day-to-day priorities along with longer term projects.Responsibilities:
 Participate in cross-functional teams and build relationships across the organization
 Works in collaboration with Product, Analytics, and various Internal DEV team
 Create data driven dashboards and reports to derive powerful insights that help the business run more effectively and efficiently
 Ensure clear and thorough communications across a variety of Internal Stakeholders



REQUIREMENTS:
 Bachelor's degree and 3+ years of progressive work experience
 Data Lake experience preferred
 Ideal candidate should have MySQL or one traditional relational DB experience
 Excellent MySQL / SQL Server database skills with working knowledge of Redshift is a plus
 Excellent knowledge of ETL tools
 Perl / Python programming knowledge is required
 Knowledge of AWS preferred (any other cloud technology if no AWS)
 Excellent communications skills and the ability to embody the mission and values of this firm and clearly articulate our vision both internally and externally

Kforce is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, sexual orientation, gender identity, national origin, age, protected veteran status, or disability status.
",3+ years,Healthcare - Health Services,"New York, NY 10036","$110,000.00 - $125,000.00 /Year",Database Engineer
55,Engineering,The Judge Group,"
Our client is currently seeking a Big Data Engineer   
Big Data Engineer   (permanent position)

Description

Business Unit: Global Chief Risk Office
Department:  Security Architecture
Job Family: Risk Management 
Job Title: Big Data Engineer

Business Unit Description:

Our Risk Management teams work to protect the safety and soundness of our systems and are responsible for identifying, managing, measuring and mitigating a spectrum of key risk types including credit, market, liquidity, systemic, operational and technology in all existing and new products, activities, processes and systems.

The Technology Risk Management department is responsible for setting strategic direction in the areas of IT Risk and Information Security. They are accountable for maintaining corporate security policies and control standards and acting as an operational arm for monitoring threat intelligence.

Position Summary:

The Big Data Engineer will design and build data transformation pipelines on  Big Data platform on the cloud to enable efficient data analysis and machine learning models through proper data engineering in a distributed architecture. The Data Engineer must be adept at data analysis, data processing and mastering the software application development and deployment.

Specific Responsibilities:
•Learn the application programming interfaces (API’s) of various systems to acquire ingest and process the data.
•Design interfaces to these applications using open source tools such as Scala, Java, Python, Perl and shell scripting.
•Create data pipelines to maintain stable dataflow to the machine learning models – both in batch mode and near real-time mode.
•Support the Chief Data Scientist/Data Scientists/Big Data Engineers in creating new and novel approaches to solving challenging problems using Machine Learning, Big Data and Cloud technologies.
•Deploy the machine-learning model and serve its outputs as RESTful API calls.
•Understand the business needs to come up with the relevant features in the data set useful for data science modeling.
•Maintain the code and libraries in code repository.
•Work with system administration team to resolve issues/install tools and libraries on the AWS platform.
•Work closely with Data Scientists to do efficient feature engineering for machine learning models.
•Mitigates risk by following established procedures and monitoring controls, spotting key errors and demonstrating strong ethical behavior. 

Leadership Competencies for this level include:
•Feedback: Seeks feedback from others, provides feedback to others in support of their development, and is open and honest while dealing constructively with criticism.
•Delegating: Effectively manages tasks and people, taking a practical approach to determine the most effective method of execution while respecting others’ expertise, considering others’ feelings, and working styles.
•Inclusive Leadership: Values individuals and embraces diversity by integrating differences and promoting diversity and inclusion across teams and functions.
•Coaching: Understands and anticipates people's needs, skills, and abilities, in order to coach, motivate and empower them for success.
•Team Building: Builds teams by quickly establishing relationships and drives a team identity and shared purpose based on diversity of thought, skills and personalities. 

Qualifications:
•Minimum of 7 years of related experience
•Understanding of AWS Big Data components and tools and knowledge in AGILE development cycle
•Experience working in a data intensive role including the extraction of data (db/web/api/etc.), transformation and loading (ETL)
•Experience with data cleansing/preparation on Hadoop/Apache Spark Ecosystem – MapReduce/Hive/HBase/Spark SQL
•Experience with distributed streaming tools like Apache KAFKA.
•Bachelor's degree preferred with Masters or equivalent experience

Please contact:
 Richard Bower, Technical Recruiter, Judge Technology Solutions 12700 Park Central Drive, Suite 1070 Dallas, Texas 75251 mobile (817) 988-7088 www.judge.com   Click to learn more about Judge’s Technology, Talent & Learning Solutions   people powered business solutions

",7 years,Other Great Industries,"Coppell, TX",NA,Big Data Engineer
56,Information Technology,Next College Student Athlete,"

ABOUT NEXT COLLEGE STUDENT ATHLETE (NCSA)
NCSA is the world's largest and most successful collegiate athletic recruiting network. A wholly-owned subsidiary of Reigning Champs LLC (www.reigningchamps.com), NCSA's 700 teammates leverage exclusive data, proprietary matching algorithms, and personal relationships built over nearly two decades as the industry leader to connect tens of thousands of college-bound student-athletes to more than 35,000 college coaches nationwide across 34 sports every year. You can learn more about NCSA at www.ncsasports.org.

Data Engineer Job Details
NCSA (Next College Student Athlete) is growing our Software Development team and we are looking for someone to lead a portion of the team, define and refine the process used across the team, and provide clear reporting on the progress made.
 
You’ll be working with a collaborative team of QA engineers, data scientists, analysts, developers, and product managers, so you’ll need to be able to articulate your decisions and take feedback into the next iteration. Want to work with a great team to make students’ lives better? Great! 
 
We need a top-notch Data Engineer to help vault forward our growing data team.  You will be integral in improving the structure of our data, expanding our data sources, maintaining the integrity of our data systems and taking our data warehousing to the next level.  We have a lot of interesting data and we want you to help us get the most out of it.



Responsibilities

Develop and maintain a data pipeline to collect, transform, store, maintain and audit structured and unstructured data sources
Define and implement standards for data hygiene to ensure accuracy, immediacy and integrity
Build the infrastructure for an optimal ETL on a wide variety of data sources using the AWS big data toolkits
Coordinate data accumulation from internal and external sources, including paid sources and scraping projects
Own the ETL workflow including reliable error and exception handling, with a robust rollback framework.
Help analyze, maintain and improve database servers and systems (MS-SQL, Postgres, MySQL), both on-prem and in the cloud
Provide expertise in data security, query optimization and data structure definition
Create tools for analysts and data consumers that will improve the availability and depth of data across the organization




Qualifications

Bachelor’s degree in Computer Science or a related Engineering field (or relevant experience)
3+ years of experience in a Data Engineering or DBA role
MS-SQL and Postgres experience, MySQL a plus
Experience with AWS Cloud Services: Redshift, EC2, EMR, RDS, etc.
Solid understanding of relational, NoSQL and columnar databases
Excellent oral and written communication skills
Experience with a scripting or programming language (R, Ruby, Python, Java, etc)





Preferred Qualification

Experience with Hadoop, Kafka or Spark
Un-afraid to manage up or sideways
Familiarity with standard source control methods
A team-player, always looking to make things better and easier for a co-worker





Benefits

Comprehensive Medical, Dental, & Life Insurance
Pre-Tax Flex Spending Account
401(k) Match Up to 3%
Parental Leave
Wellness Reimbursement Program
Online Health Assessments
EAP





National Collegiate Scouting Association LLC is committed to providing equal employment opportunities to all employees and applicants without regard to race, religion, color, sex, national origin, citizenship status, uniform service member status, age, disability, sexual and gender orientation, genetic information or any other protected status in accordance with all applicable federal, state, and local laws.


",3+ years,"Computer Software, Consumer Products","1333 North Kingsbury StreetChicago, IL 60642","$0.00 - $120,000.00 /Year",Data Engineer
57,Information Technology,FRG Technology Consulting,"
Lead Big Data Engineer -Jersey City, NJ- $170k  One of FRG's top startups in NYC that has a focus on Big Data is looking to hire all levels of Data Engineer and Data Scientist. This company has rapid growth potential and is looking to double in size by the end of the year.  Lead Big Data Engineer -Jersey City, NJ- $170k   Role & Responsibilities:
Use understanding of big data concepts to fully design and communicate project goals
Be able to communicate technically and non-technically to higher management
Recognize how to best use AWS and Hadoop to achieve desired result while keeping budget and requirements in mind
Provide highly technical and strong managerial leadership to a team
 Required Experience & Qualifications:
Extensive experience in big data tools and data warehouse design
Experience scripting with Scala on Spark

Proven familiarity with AWS; certification a plus Extensive knowledge and implementation of Hadoop platform and environment; Hortonworks, Cloudera, Zookeeper are a plus
Proven experience using AWS tools such as EMR, EC2, S3
Long term experience using Redshift
Experience with one or more of the following: Java, Python, Hive, Oracle
Comprehensive experience in the big data space
 Benefits & Bonus
Full medical/health insurance
Company Match 401k program
Free hot & cold lunches
Paid Metro Pass
Paid Certifications
  If you or someone you know is interested in this position, please send your resume directly to [Click Here to Email Your Resumé] or call 212-731-8282. My client is looking to start the interview process as soon as possible.  FRG Consulting is a leader in Niche IT Recruitment with a focus on cloud technologies including Azure & AWS, as well as Big Data, Data Science and BI. We deal with both Microsoft Partners, AWS partners & End Users throughout North America. We have open positions and relationships with some of the top partners and end users throughout the US and offer some excellent opportunities in the BI, Big data space.  I understand the need for discretion and would welcome the opportunity to speak to any Big Data and cloud analytics candidates that are considering a new career or job either now or in the future. Confidentiality is of the upmost importance. For more information on available BI jobs, as well as the Business Intelligence, Big data and cloud market, I can be contacted at 212-731-8282. Please see www.frgconsulting.com for more information.    Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark / MS Azure / Amazon Web Services / AWS

Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark / MS Azure / Amazon Web Services / AWS
",NA,Computer Software,"New York, NY","$0.00 - $170,000.00 /Year","Lead Big Data Engineer -Jersey City, NJ- $170k"
58,Information Technology,FRG Technology Consulting,"
Senior Big Data Engineer - NYC - $180k + 20% Bonus   One of FRG's top startups in NYC that has a focus on Big Data is looking to hire a Data Engineer. This company has rapid growth potential and is looking to double in size by the end of the year. Senior Big Data Engineer - NYC - $180k + 20% Bonus Required Experience & Qualifications:
Hands on experience working on Spark based platforms 
Hands on experience coding with Scala

Hands on experience coding with Python
Hands on experience coding with R
Experience working within the Hadoop Ecosystem is mandatory 
Experience with TensorFlow is beneficial
Experience working with the AWS Big Data Ecosystem
Specifically: S3, Redshift, EMR, Dynamo DB, Kinesis, ML, Glue, Athena
 Benefits & Bonus
Competitive base and bonus
Full medical/health insurance
Opportunity to work with the newest technology in the industry
Remote capabilities
Free lunches everyday
Metro pass
Unlimited PTO
  If you or someone you know is interested in this position, please send your resume directly to [Click Here to Email Your Resumé] or call 212-731-8282. My client is looking to start the interview process as soon as possible.  FRG Consulting is a leader in Niche IT Recruitment with a focus on cloud technologies including Azure & AWS, as well as Big Data, Data Science and BI. We deal with both Microsoft Partners, AWS partners & End Users throughout North America. We have open positions and relationships with some of the top partners and end users throughout the US and offer some excellent opportunities in the BI, Big data space.  I understand the need for discretion and would welcome the opportunity to speak to any Big Data and cloud analytics candidates that are considering a new career or job either now or in the future. Confidentiality is of the upmost importance. For more information on available BI jobs, as well as the Business Intelligence, Big data and cloud market, I can be contacted at 212-731-8282. Please see www.frgconsulting.com for more information.   Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark / MS Azure / Amazon Web Services / AWS / EMR / RDS/ Redshift / S3 / EC2 / Lambda / Glue / Data Pipeline / Kafka / Power BI / Data Lake / Data Lake Analytics / Azure IoT Hubs / BLOB Storage / HDInsight / Data Factory / Machine Learning / SQL Data Warehouse / Steam Analytics / Ruby / DynamoDB / Kinesis/ IotT / TensorFlow

Big Data / Data Science / Hadoop / Microsoft Business Intelligence / BI / Business Intelligence / SSRS / SSAS / SSIS / SQL / T-SQL / MDX / Azure / Cloud / AWS / Data Warehouse / ETL / Power BI / Architect / Big Data / Hadoop / Scala / Python / Apache / Hive / Spark / MS Azure / Amazon Web Services / AWS / EMR / RDS/ Redshift / S3 / EC2 / Lambda / Glue / Data Pipeline / Kafka / Power BI / Data Lake / Data Lake Analytics / Azure IoT Hubs / BLOB Storage / HDInsight / Data Factory / Machine Learning / SQL Data Warehouse / Steam Analytics / Ruby / DynamoDB / Kinesis/ IotT / TensorFlow
",NA,Computer Software,"New York, NY","$0.00 - $180,000.00 /Year",Senior Big Data Engineer - NYC - $180k + 20% Bonus
