,Station,Date,Tmax,Tmin,Tavg,DewPoint,WetBulb,Heat,Cool,PrecipTotal,Month,Year
31,2,2007-05-16,64,45,54.5,42,47.0,10.0,0.0,0.07,5,2007
32,1,2007-05-17,62,43,52.5,32,43.0,12.0,0.0,0.0,5,2007
33,2,2007-05-17,61,44,52.5,32,43.0,12.0,0.0,0.0,5,2007
34,1,2007-05-18,71,42,56.5,30,46.0,8.0,0.0,0.0,5,2007
35,2,2007-05-18,70,43,56.5,31,47.0,8.0,0.0,0.0,5,2007
36,1,2007-05-19,80,56,68.0,39,53.0,0.0,3.0,0.0,5,2007
37,2,2007-05-19,80,56,68.0,37,53.0,0.0,3.0,0.0,5,2007
38,1,2007-05-20,69,43,56.0,40,44.0,9.0,0.0,0.07,5,2007
39,2,2007-05-20,69,44,56.5,41,45.0,8.0,0.0,0.11,5,2007
40,1,2007-05-21,80,44,62.0,50,56.0,3.0,0.0,0.0,5,2007
41,2,2007-05-21,79,46,62.5,50,57.0,2.0,0.0,0.0,5,2007
42,1,2007-05-22,87,55,71.0,46,58.0,0.0,6.0,0.0,5,2007
43,2,2007-05-22,87,60,73.5,44,58.0,0.0,9.0,0.0,5,2007
44,1,2007-05-23,89,60,74.5,49,61.0,0.0,10.0,0.0,5,2007
45,2,2007-05-23,89,66,77.5,48,61.0,0.0,13.0,0.0,5,2007
46,1,2007-05-24,88,63,75.5,54,63.0,0.0,11.0,0.02,5,2007
47,2,2007-05-24,88,66,77.0,53,63.0,0.0,12.0,0.0,5,2007
48,1,2007-05-25,70,56,63.0,44,53.0,2.0,0.0,0.0,5,2007
49,2,2007-05-25,66,57,61.5,46,53.0,3.0,0.0,0.09,5,2007
50,1,2007-05-26,65,49,57.0,55,56.0,8.0,0.0,1.01,5,2007
51,2,2007-05-26,70,50,60.0,55,57.0,5.0,0.0,0.28,5,2007
52,1,2007-05-27,75,57,66.0,47,56.0,0.0,1.0,0.04,5,2007
53,2,2007-05-27,75,59,67.0,49,57.0,0.0,2.0,0.08,5,2007
54,1,2007-05-28,79,50,64.5,47,56.0,0.0,0.0,0.0,5,2007
55,2,2007-05-28,76,54,65.0,49,57.0,0.0,0.0,0.0,5,2007
56,1,2007-05-29,88,60,74.0,58,65.0,0.0,9.0,0.0,5,2007
57,2,2007-05-29,88,65,76.5,59,66.0,0.0,12.0,0.0,5,2007
58,1,2007-05-30,87,66,76.5,58,65.0,0.0,12.0,0.0,5,2007
59,2,2007-05-30,89,70,79.5,57,66.0,0.0,15.0,0.0,5,2007
60,1,2007-05-31,78,65,71.5,61,65.0,0.0,7.0,0.01,5,2007
61,2,2007-05-31,80,68,74.0,61,66.0,0.0,9.0,0.53,5,2007
62,1,2007-06-01,85,62,73.5,63,66.0,0.0,9.0,0.19,6,2007
63,2,2007-06-01,86,67,76.5,63,67.0,0.0,12.0,0.21,6,2007
64,1,2007-06-02,81,65,73.0,63,67.0,0.0,8.0,0.04,6,2007
65,2,2007-06-02,81,68,74.5,62,67.0,0.0,10.0,0.0,6,2007
66,1,2007-06-03,78,62,70.0,60,63.0,0.0,5.0,0.01,6,2007
67,2,2007-06-03,77,64,70.5,60,64.0,0.0,6.0,0.32,6,2007
68,1,2007-06-04,71,58,64.5,58,60.0,0.0,0.0,0.39,6,2007
69,2,2007-06-04,72,56,64.0,57,60.0,1.0,0.0,0.31,6,2007
70,1,2007-06-05,64,47,55.5,48,51.0,9.0,0.0,0.42,6,2007
71,2,2007-06-05,63,51,57.0,47,52.0,8.0,0.0,0.27,6,2007
72,1,2007-06-06,71,44,57.5,48,55.0,7.0,0.0,0.01,6,2007
73,2,2007-06-06,73,48,60.5,47,55.0,4.0,0.0,0.0,6,2007
74,1,2007-06-07,91,71,81.0,62,69.0,0.0,16.0,0.0,6,2007
75,2,2007-06-07,92,71,81.5,61,68.0,0.0,17.0,0.0,6,2007
76,1,2007-06-08,81,57,69.0,53,61.0,0.0,4.0,0.0,6,2007
77,2,2007-06-08,81,63,72.0,54,62.0,0.0,7.0,0.0,6,2007
78,1,2007-06-09,79,52,65.5,47,57.0,0.0,1.0,0.0,6,2007
79,2,2007-06-09,79,57,68.0,49,58.0,0.0,3.0,0.0,6,2007
80,1,2007-06-10,81,55,68.0,51,59.0,0.0,3.0,0.0,6,2007
81,2,2007-06-10,81,61,71.0,50,60.0,0.0,6.0,0.0,6,2007
82,1,2007-06-11,86,58,72.0,52,61.0,0.0,7.0,0.0,6,2007
83,2,2007-06-11,85,65,75.0,51,61.0,0.0,10.0,0.0,6,2007
84,1,2007-06-12,83,62,72.5,50,60.0,0.0,8.0,0.0,6,2007
85,2,2007-06-12,82,66,74.0,51,61.0,0.0,9.0,0.0,6,2007
86,1,2007-06-13,87,60,73.5,53,62.0,0.0,9.0,0.0,6,2007
87,2,2007-06-13,86,68,77.0,53,62.0,0.0,12.0,0.0,6,2007
88,1,2007-06-14,89,64,76.5,55,64.0,0.0,12.0,0.0,6,2007
89,2,2007-06-14,89,68,78.5,54,63.0,0.0,14.0,0.0,6,2007
90,1,2007-06-15,91,63,77.0,56,64.0,0.0,12.0,0.0,6,2007
91,2,2007-06-15,89,67,78.0,56,65.0,0.0,13.0,0.0,6,2007
92,1,2007-06-16,93,66,79.5,60,67.0,0.0,15.0,0.0,6,2007
93,2,2007-06-16,92,68,80.0,61,68.0,0.0,15.0,0.0,6,2007
94,1,2007-06-17,91,70,80.5,64,70.0,0.0,16.0,0.0,6,2007
95,2,2007-06-17,91,71,81.0,65,70.0,0.0,16.0,0.16,6,2007
96,1,2007-06-18,89,69,79.0,65,70.0,0.0,14.0,0.28,6,2007
97,2,2007-06-18,89,73,81.0,65,70.0,0.0,16.0,0.02,6,2007
98,1,2007-06-19,80,65,72.5,55,63.0,0.0,8.0,0.58,6,2007
99,2,2007-06-19,81,65,73.0,55,63.0,0.0,8.0,0.93,6,2007
100,1,2007-06-20,84,61,72.5,52,61.0,0.0,8.0,0.0,6,2007
101,2,2007-06-20,85,62,73.5,50,61.0,0.0,9.0,0.0,6,2007
102,1,2007-06-21,77,61,69.0,51,60.0,0.0,4.0,0.01,6,2007
103,2,2007-06-21,80,66,73.0,51,61.0,0.0,8.0,0.0,6,2007
104,1,2007-06-22,76,61,68.5,50,58.0,0.0,4.0,0.0,6,2007
105,2,2007-06-22,75,62,68.5,49,58.0,0.0,4.0,0.0,6,2007
106,1,2007-06-23,67,62,64.5,58,61.0,0.0,0.0,0.05,6,2007
107,2,2007-06-23,68,61,64.5,60,62.0,0.0,0.0,0.34,6,2007
108,1,2007-06-24,77,63,70.0,62,65.0,0.0,5.0,0.0,6,2007
109,2,2007-06-24,75,65,70.0,62,65.0,0.0,5.0,0.0,6,2007
110,1,2007-06-25,89,65,77.0,66,70.0,0.0,12.0,0.0,6,2007
111,2,2007-06-25,86,67,76.5,67,70.0,0.0,12.0,0.0,6,2007
112,1,2007-06-26,92,70,81.0,69,72.0,0.0,16.0,0.16,6,2007
113,2,2007-06-26,91,73,82.0,69,72.0,0.0,17.0,0.0,6,2007
114,1,2007-06-27,91,71,81.0,70,72.0,0.0,16.0,0.15,6,2007
115,2,2007-06-27,89,71,80.0,69,72.0,0.0,15.0,0.35,6,2007
116,1,2007-06-28,74,58,66.0,55,60.0,0.0,1.0,0.0,6,2007
117,2,2007-06-28,73,61,67.0,56,61.0,0.0,2.0,,6,2007
118,1,2007-06-29,70,56,63.0,55,59.0,2.0,0.0,0.0,6,2007
119,2,2007-06-29,71,56,63.5,56,60.0,1.0,0.0,,6,2007
120,1,2007-06-30,79,54,66.5,46,56.0,0.0,2.0,0.0,6,2007
121,2,2007-06-30,77,58,67.5,49,58.0,0.0,3.0,0.0,6,2007
122,1,2007-07-01,75,54,64.5,52,58.0,0.0,0.0,0.0,7,2007
123,2,2007-07-01,76,61,68.5,51,59.0,0.0,4.0,0.0,7,2007
124,1,2007-07-02,79,53,66.0,50,58.0,0.0,1.0,0.0,7,2007
125,2,2007-07-02,77,58,67.5,50,59.0,0.0,3.0,0.0,7,2007
126,1,2007-07-03,83,60,71.5,57,63.0,0.0,7.0,0.4,7,2007
127,2,2007-07-03,83,63,73.0,56,63.0,0.0,8.0,0.09,7,2007
128,1,2007-07-04,86,67,76.5,65,69.0,0.0,12.0,0.16,7,2007
129,2,2007-07-04,84,67,75.5,65,69.0,0.0,11.0,0.66,7,2007
130,1,2007-07-05,89,71,80.0,60,67.0,0.0,15.0,0.0,7,2007
131,2,2007-07-05,88,70,79.0,60,67.0,0.0,14.0,0.0,7,2007
132,1,2007-07-06,86,66,76.0,57,64.0,0.0,11.0,0.0,7,2007
133,2,2007-07-06,84,68,76.0,57,65.0,0.0,11.0,0.0,7,2007
134,1,2007-07-07,90,64,77.0,63,69.0,0.0,12.0,0.0,7,2007
135,2,2007-07-07,88,68,78.0,62,68.0,0.0,13.0,0.0,7,2007
136,1,2007-07-08,94,75,84.5,67,72.0,0.0,20.0,0.0,7,2007
137,2,2007-07-08,93,75,84.0,67,72.0,0.0,19.0,0.0,7,2007
138,1,2007-07-09,94,70,82.0,66,70.0,0.0,17.0,0.3,7,2007
139,2,2007-07-09,93,72,82.5,67,71.0,0.0,18.0,0.24,7,2007
140,1,2007-07-10,89,69,79.0,67,70.0,0.0,14.0,0.43,7,2007
141,2,2007-07-10,89,70,79.5,67,71.0,0.0,15.0,0.08,7,2007
142,1,2007-07-11,77,62,69.5,51,59.0,0.0,5.0,0.0,7,2007
143,2,2007-07-11,77,63,70.0,51,59.0,0.0,5.0,0.0,7,2007
144,1,2007-07-12,80,61,70.5,51,59.0,0.0,6.0,0.0,7,2007
145,2,2007-07-12,80,60,70.0,51,60.0,0.0,5.0,0.0,7,2007
146,1,2007-07-13,78,58,68.0,52,58.0,0.0,3.0,0.0,7,2007
147,2,2007-07-13,74,59,66.5,53,59.0,0.0,2.0,0.0,7,2007
148,1,2007-07-14,84,61,72.5,55,62.0,0.0,8.0,0.0,7,2007
149,2,2007-07-14,85,62,73.5,55,62.0,0.0,9.0,0.0,7,2007
150,1,2007-07-15,82,60,71.0,53,61.0,0.0,6.0,0.0,7,2007
151,2,2007-07-15,80,64,72.0,52,61.0,0.0,7.0,0.0,7,2007
152,1,2007-07-16,82,65,73.5,60,65.0,0.0,9.0,0.39,7,2007
153,2,2007-07-16,82,66,74.0,60,65.0,0.0,9.0,0.07,7,2007
154,1,2007-07-17,83,68,75.5,66,69.0,0.0,11.0,0.11,7,2007
155,2,2007-07-17,83,69,76.0,65,69.0,0.0,11.0,0.11,7,2007
156,1,2007-07-18,85,69,77.0,68,71.0,0.0,12.0,1.55,7,2007
157,2,2007-07-18,85,69,77.0,69,71.0,0.0,12.0,0.92,7,2007
158,1,2007-07-19,83,63,73.0,63,66.0,0.0,8.0,0.16,7,2007
159,2,2007-07-19,82,63,72.5,62,66.0,0.0,8.0,0.01,7,2007
160,1,2007-07-20,75,58,66.5,53,59.0,0.0,2.0,0.0,7,2007
161,2,2007-07-20,74,62,68.0,52,59.0,0.0,3.0,0.0,7,2007
162,1,2007-07-21,74,58,66.0,52,58.0,0.0,1.0,0.0,7,2007
163,2,2007-07-21,75,58,66.5,52,59.0,0.0,2.0,0.0,7,2007
164,1,2007-07-22,81,58,69.5,55,61.0,0.0,5.0,0.0,7,2007
165,2,2007-07-22,81,61,71.0,54,61.0,0.0,6.0,0.0,7,2007
166,1,2007-07-23,83,60,71.5,55,63.0,0.0,7.0,0.0,7,2007
167,2,2007-07-23,82,63,72.5,55,63.0,0.0,8.0,0.0,7,2007
168,1,2007-07-24,82,65,73.5,58,64.0,0.0,9.0,0.0,7,2007
169,2,2007-07-24,82,65,73.5,57,64.0,0.0,9.0,0.0,7,2007
170,1,2007-07-25,85,71,78.0,61,67.0,0.0,13.0,0.0,7,2007
171,2,2007-07-25,83,70,76.5,60,66.0,0.0,12.0,0.0,7,2007
172,1,2007-07-26,83,66,74.5,65,68.0,0.0,10.0,0.19,7,2007
173,2,2007-07-26,84,64,74.0,65,68.0,0.0,9.0,0.89,7,2007
174,1,2007-07-27,83,70,76.5,68,70.0,0.0,12.0,0.17,7,2007
175,2,2007-07-27,83,70,76.5,67,70.0,0.0,12.0,0.04,7,2007
176,1,2007-07-28,80,66,73.0,65,68.0,0.0,8.0,0.0,7,2007
177,2,2007-07-28,80,70,75.0,65,68.0,0.0,10.0,0.0,7,2007
178,1,2007-07-29,85,63,74.0,57,64.0,0.0,9.0,0.0,7,2007
179,2,2007-07-29,85,67,76.0,56,64.0,0.0,11.0,0.0,7,2007
180,1,2007-07-30,89,62,75.5,55,64.0,0.0,11.0,0.0,7,2007
181,2,2007-07-30,86,65,75.5,57,65.0,0.0,11.0,0.0,7,2007
182,1,2007-07-31,91,68,79.5,61,68.0,0.0,15.0,0.0,7,2007
183,2,2007-07-31,89,69,79.0,60,68.0,0.0,14.0,0.0,7,2007
184,1,2007-08-01,92,69,80.5,62,69.0,0.0,16.0,0.0,8,2007
185,2,2007-08-01,91,69,80.0,63,70.0,0.0,15.0,0.0,8,2007
186,1,2007-08-02,91,70,80.5,66,71.0,0.0,16.0,0.0,8,2007
187,2,2007-08-02,91,73,82.0,66,72.0,0.0,17.0,0.0,8,2007
188,1,2007-08-03,90,69,79.5,56,66.0,0.0,15.0,0.0,8,2007
189,2,2007-08-03,88,73,80.5,58,67.0,0.0,16.0,0.0,8,2007
190,1,2007-08-04,81,64,72.5,58,64.0,0.0,8.0,0.03,8,2007
191,2,2007-08-04,81,68,74.5,58,65.0,0.0,10.0,0.02,8,2007
192,1,2007-08-05,88,67,77.5,71,73.0,0.0,13.0,1.43,8,2007
193,2,2007-08-05,88,68,78.0,71,72.0,0.0,13.0,0.97,8,2007
194,1,2007-08-06,88,74,81.0,72,74.0,0.0,16.0,0.26,8,2007
195,2,2007-08-06,85,75,80.0,72,74.0,0.0,15.0,0.05,8,2007
196,1,2007-08-07,91,72,81.5,73,76.0,0.0,17.0,1.31,8,2007
197,2,2007-08-07,92,73,82.5,73,76.0,0.0,18.0,0.06,8,2007
198,1,2007-08-08,87,73,80.0,71,73.0,0.0,15.0,0.06,8,2007
199,2,2007-08-08,87,74,80.5,72,74.0,0.0,16.0,0.09,8,2007
200,1,2007-08-09,84,72,78.0,71,73.0,0.0,13.0,0.05,8,2007
201,2,2007-08-09,85,73,79.0,71,73.0,0.0,14.0,0.46,8,2007
202,1,2007-08-10,86,70,78.0,68,72.0,0.0,13.0,0.0,8,2007
203,2,2007-08-10,86,73,79.5,69,72.0,0.0,15.0,0.0,8,2007
204,1,2007-08-11,89,67,78.0,65,70.0,0.0,13.0,0.0,8,2007
205,2,2007-08-11,88,68,78.0,65,70.0,0.0,13.0,0.0,8,2007
206,1,2007-08-12,88,67,77.5,67,71.0,0.0,13.0,0.29,8,2007
207,2,2007-08-12,87,68,77.5,67,70.0,0.0,13.0,0.23,8,2007
208,1,2007-08-13,81,65,73.0,57,64.0,0.0,8.0,0.0,8,2007
209,2,2007-08-13,80,69,74.5,54,63.0,0.0,10.0,0.0,8,2007
210,1,2007-08-14,84,65,74.5,67,70.0,0.0,10.0,0.41,8,2007
211,2,2007-08-14,84,65,74.5,66,69.0,0.0,10.0,0.45,8,2007
212,1,2007-08-15,80,71,75.5,67,70.0,0.0,11.0,0.23,8,2007
213,2,2007-08-15,81,72,76.5,69,71.0,0.0,12.0,0.83,8,2007
214,1,2007-08-16,77,65,71.0,64,67.0,0.0,6.0,0.0,8,2007
215,2,2007-08-16,77,67,72.0,65,68.0,0.0,7.0,0.0,8,2007
216,1,2007-08-17,79,60,69.5,54,61.0,0.0,5.0,0.0,8,2007
217,2,2007-08-17,80,65,72.5,54,62.0,0.0,8.0,0.0,8,2007
218,1,2007-08-18,68,59,63.5,54,58.0,1.0,0.0,0.09,8,2007
219,2,2007-08-18,69,60,64.5,54,58.0,0.0,0.0,0.42,8,2007
220,1,2007-08-19,68,62,65.0,62,64.0,0.0,0.0,1.33,8,2007
221,2,2007-08-19,69,62,65.5,63,64.0,0.0,1.0,1.33,8,2007
222,1,2007-08-20,78,68,73.0,68,69.0,0.0,8.0,0.91,8,2007
223,2,2007-08-20,76,68,72.0,69,70.0,0.0,7.0,0.48,8,2007
224,1,2007-08-21,87,69,78.0,70,72.0,0.0,13.0,0.0,8,2007
225,2,2007-08-21,85,69,77.0,70,72.0,0.0,12.0,0.01,8,2007
226,1,2007-08-22,90,69,79.5,71,73.0,0.0,15.0,0.37,8,2007
227,2,2007-08-22,90,70,80.0,70,73.0,0.0,15.0,0.88,8,2007
228,1,2007-08-23,87,69,78.0,69,71.0,0.0,13.0,2.35,8,2007
229,2,2007-08-23,89,70,79.5,69,71.0,0.0,15.0,1.96,8,2007
230,1,2007-08-24,80,69,74.5,67,69.0,0.0,10.0,0.24,8,2007
231,2,2007-08-24,81,69,75.0,67,69.0,0.0,10.0,0.2,8,2007
232,1,2007-08-25,79,64,71.5,63,66.0,0.0,7.0,0.34,8,2007
233,2,2007-08-25,76,65,70.5,63,66.0,0.0,6.0,0.25,8,2007
234,1,2007-08-26,79,60,69.5,55,61.0,0.0,5.0,0.0,8,2007
235,2,2007-08-26,78,61,69.5,55,62.0,0.0,5.0,0.0,8,2007
236,1,2007-08-27,79,60,69.5,60,64.0,0.0,5.0,0.0,8,2007
237,2,2007-08-27,79,63,71.0,59,64.0,0.0,6.0,0.0,8,2007
238,1,2007-08-28,91,67,79.0,66,70.0,0.0,14.0,0.0,8,2007
239,2,2007-08-28,90,69,79.5,65,70.0,0.0,15.0,0.0,8,2007
240,1,2007-08-29,85,68,76.5,65,69.0,0.0,12.0,0.0,8,2007
241,2,2007-08-29,86,69,77.5,64,69.0,0.0,13.0,0.0,8,2007
242,1,2007-08-30,75,57,66.0,54,60.0,0.0,1.0,0.0,8,2007
243,2,2007-08-30,75,60,67.5,54,61.0,0.0,3.0,0.0,8,2007
244,1,2007-08-31,77,57,67.0,52,59.0,0.0,2.0,0.0,8,2007
245,2,2007-08-31,76,57,66.5,54,60.0,0.0,2.0,0.0,8,2007
246,1,2007-09-01,81,57,69.0,55,61.0,0.0,4.0,0.0,9,2007
247,2,2007-09-01,79,60,69.5,56,62.0,0.0,5.0,0.0,9,2007
248,1,2007-09-02,85,61,73.0,57,63.0,0.0,8.0,0.0,9,2007
249,2,2007-09-02,84,62,73.0,56,63.0,0.0,8.0,0.0,9,2007
250,1,2007-09-03,88,66,77.0,61,67.0,0.0,12.0,0.0,9,2007
251,2,2007-09-03,88,64,76.0,61,67.0,0.0,11.0,0.0,9,2007
252,1,2007-09-04,89,63,76.0,60,66.0,0.0,11.0,0.0,9,2007
253,2,2007-09-04,90,67,78.5,59,67.0,0.0,14.0,0.0,9,2007
254,1,2007-09-05,90,66,78.0,63,69.0,0.0,13.0,0.0,9,2007
255,2,2007-09-05,91,72,81.5,62,69.0,0.0,17.0,0.0,9,2007
256,1,2007-09-06,82,73,77.5,67,70.0,0.0,13.0,0.18,9,2007
257,2,2007-09-06,84,74,79.0,66,70.0,0.0,14.0,0.08,9,2007
258,1,2007-09-07,84,70,77.0,68,70.0,0.0,12.0,0.19,9,2007
259,2,2007-09-07,84,71,77.5,67,70.0,0.0,13.0,0.67,9,2007
260,1,2007-09-08,78,64,71.0,57,63.0,0.0,6.0,0.0,9,2007
261,2,2007-09-08,78,68,73.0,58,64.0,0.0,8.0,0.0,9,2007
262,1,2007-09-09,80,63,71.5,59,63.0,0.0,7.0,0.0,9,2007
263,2,2007-09-09,79,63,71.0,59,64.0,0.0,6.0,0.0,9,2007
264,1,2007-09-10,74,54,64.0,58,60.0,1.0,0.0,0.36,9,2007
265,2,2007-09-10,73,55,64.0,59,62.0,1.0,0.0,0.25,9,2007
266,1,2007-09-11,71,50,60.5,44,52.0,4.0,0.0,0.0,9,2007
267,2,2007-09-11,71,51,61.0,44,52.0,4.0,0.0,0.0,9,2007
268,1,2007-09-12,67,46,56.5,42,49.0,8.0,0.0,0.0,9,2007
269,2,2007-09-12,66,46,56.0,43,50.0,9.0,0.0,0.0,9,2007
270,1,2007-09-13,78,50,64.0,45,54.0,1.0,0.0,0.0,9,2007
271,2,2007-09-13,79,53,66.0,43,54.0,0.0,1.0,0.0,9,2007
272,1,2007-09-14,66,45,55.5,39,48.0,9.0,0.0,0.0,9,2007
273,2,2007-09-14,67,47,57.0,40,49.0,8.0,0.0,0.0,9,2007
274,1,2007-09-15,61,39,50.0,33,43.0,15.0,0.0,0.0,9,2007
275,2,2007-09-15,62,42,52.0,35,45.0,13.0,0.0,0.0,9,2007
276,1,2007-09-16,71,44,57.5,40,49.0,7.0,0.0,0.0,9,2007
277,2,2007-09-16,72,49,60.5,38,50.0,4.0,0.0,0.0,9,2007
278,1,2007-09-17,80,52,66.0,49,57.0,0.0,1.0,0.0,9,2007
279,2,2007-09-17,80,55,67.5,48,57.0,0.0,3.0,0.0,9,2007
280,1,2007-09-18,88,63,75.5,58,65.0,0.0,11.0,0.0,9,2007
281,2,2007-09-18,89,66,77.5,57,65.0,0.0,13.0,0.0,9,2007
282,1,2007-09-19,84,65,74.5,59,65.0,0.0,10.0,0.0,9,2007
283,2,2007-09-19,84,68,76.0,59,65.0,0.0,11.0,0.0,9,2007
284,1,2007-09-20,78,60,69.0,59,63.0,0.0,4.0,0.0,9,2007
285,2,2007-09-20,76,63,69.5,59,64.0,0.0,5.0,0.0,9,2007
286,1,2007-09-21,88,64,76.0,59,66.0,0.0,11.0,0.0,9,2007
287,2,2007-09-21,90,68,79.0,59,66.0,0.0,14.0,0.0,9,2007
288,1,2007-09-22,74,51,62.5,43,53.0,2.0,0.0,0.0,9,2007
289,2,2007-09-22,72,58,65.0,45,55.0,0.0,0.0,0.0,9,2007
290,1,2007-09-23,84,50,67.0,50,58.0,0.0,2.0,0.0,9,2007
291,2,2007-09-23,83,55,69.0,50,59.0,0.0,4.0,0.0,9,2007
292,1,2007-09-24,90,68,79.0,63,68.0,0.0,14.0,0.0,9,2007
293,2,2007-09-24,91,71,81.0,62,69.0,0.0,16.0,0.0,9,2007
294,1,2007-09-25,85,63,74.0,65,69.0,0.0,9.0,0.27,9,2007
295,2,2007-09-25,83,67,75.0,66,69.0,0.0,10.0,0.01,9,2007
296,1,2007-09-26,69,53,61.0,50,55.0,4.0,0.0,0.09,9,2007
297,2,2007-09-26,68,55,61.5,51,56.0,3.0,0.0,0.14,9,2007
298,1,2007-09-27,75,49,62.0,49,55.0,3.0,0.0,0.0,9,2007
299,2,2007-09-27,74,52,63.0,49,55.0,2.0,0.0,0.0,9,2007
300,1,2007-09-28,73,53,63.0,46,53.0,2.0,0.0,0.0,9,2007
301,2,2007-09-28,73,53,63.0,46,54.0,2.0,0.0,0.0,9,2007
302,1,2007-09-29,80,50,65.0,46,55.0,0.0,0.0,0.0,9,2007
303,2,2007-09-29,82,52,67.0,45,55.0,0.0,2.0,0.0,9,2007
304,1,2007-09-30,83,59,71.0,49,59.0,0.0,6.0,0.14,9,2007
305,2,2007-09-30,84,61,72.5,48,59.0,0.0,8.0,0.14,9,2007
306,1,2007-10-01,69,59,64.0,59,61.0,1.0,0.0,0.29,10,2007
307,2,2007-10-01,68,59,63.5,59,61.0,1.0,0.0,0.17,10,2007
308,1,2007-10-02,78,57,67.5,59,63.0,0.0,3.0,0.09,10,2007
309,2,2007-10-02,80,59,69.5,59,63.0,0.0,5.0,0.11,10,2007
310,1,2007-10-03,74,55,64.5,48,56.0,0.0,0.0,0.0,10,2007
311,2,2007-10-03,74,56,65.0,47,56.0,0.0,0.0,0.0,10,2007
312,1,2007-10-04,82,51,66.5,56,61.0,0.0,2.0,0.0,10,2007
313,2,2007-10-04,83,56,69.5,56,62.0,0.0,5.0,0.0,10,2007
314,1,2007-10-05,84,62,73.0,65,68.0,0.0,8.0,0.0,10,2007
315,2,2007-10-05,85,68,76.5,65,69.0,0.0,12.0,0.06,10,2007
316,1,2007-10-06,87,69,78.0,67,70.0,0.0,13.0,0.0,10,2007
317,2,2007-10-06,88,71,79.5,66,71.0,0.0,15.0,0.0,10,2007
318,1,2007-10-07,87,67,77.0,66,70.0,0.0,12.0,0.0,10,2007
319,2,2007-10-07,88,70,79.0,65,70.0,0.0,14.0,0.0,10,2007
320,1,2007-10-08,87,60,73.5,61,66.0,0.0,9.0,0.0,10,2007
321,2,2007-10-08,88,62,75.0,60,66.0,0.0,10.0,0.0,10,2007
322,1,2007-10-09,76,49,62.5,44,53.0,2.0,0.0,0.0,10,2007
323,2,2007-10-09,77,50,63.5,44,53.0,1.0,0.0,0.0,10,2007
324,1,2007-10-10,54,47,50.5,38,44.0,14.0,0.0,0.0,10,2007
325,2,2007-10-10,53,47,50.0,37,44.0,15.0,0.0,0.0,10,2007
326,1,2007-10-11,54,46,50.0,39,45.0,15.0,0.0,0.0,10,2007
327,2,2007-10-11,56,48,52.0,39,45.0,13.0,0.0,0.0,10,2007
328,1,2007-10-12,56,41,48.5,35,43.0,16.0,0.0,0.0,10,2007
329,2,2007-10-12,57,45,51.0,35,43.0,14.0,0.0,0.0,10,2007
